county_name,total,under1,under10k,under25k,under50k,under75k,under100k,under200k,over200k,fipscode
Charlotte County,76500,2000,11730,18820,18280,10490,6410,6850,1920,51037
Citrus County,62180,1510,10490,17220,14420,7960,4760,4770,1050,12017
Clay County,91500,1140,12570,19760,22170,13820,9370,10660,2010,54015
Collier County,170240,4850,23490,39620,37550,18970,12410,19800,13550,12021
Columbia County,26850,470,4390,7870,6910,3340,1880,1700,290,55021
DeSoto County,11530,220,1900,3890,3160,1220,540,490,110,28033
Dixie County,4990,110,900,1520,1370,580,270,200,40,12029
Duval County,432600,5670,63600,114520,113080,55870,32070,37080,10710,48131
Escambia County,140940,1780,22440,39970,34720,17530,10650,11050,2800,12033
FLORIDA,9314920,184100,1524660,2528250,2213690,1092690,656300,814220,301010,12000
Flagler County,47830,1260,7480,12010,11280,6590,4000,4070,1140,12035
Franklin County,4430,130,710,1300,1080,490,290,310,120,53021
Gadsden County,19990,240,2980,7030,5630,1970,1010,970,160,12039
Gilchrist County,6360,130,1010,1760,1740,810,480,370,60,12041
Glades County,3880,80,560,1030,1150,370,230,390,70,12043
Gulf County,5640,150,920,1480,1430,720,430,380,130,12045
Hamilton County,4710,70,770,1560,1200,520,320,240,30,48193
Hardee County,9750,150,1620,3340,2490,1000,530,520,100,12049
Hendry County,15820,220,2680,5620,4120,1400,690,880,210,12051
Hernando County,75290,1580,12650,20630,18890,10150,5770,4810,810,12053
Highlands County,40290,1000,6920,12820,9790,4560,2440,2230,530,12055
Hillsborough County,608620,9560,94890,159180,148980,71730,44450,58990,20840,33011
Holmes County,6710,160,1150,1990,1770,820,440,340,40,39075
Indian River County,69630,1780,10450,17380,15660,8510,5360,6770,3720,12061
Jackson County,18150,290,2880,5500,4780,2230,1220,1040,210,55053
Jefferson County,5920,120,850,1670,1570,710,470,440,90,55055
Lafayette County,2490,70,390,690,680,290,180,160,30,55065
Lake County,146510,2680,21240,39120,36070,20010,12230,12360,2800,47095
Lee County,310520,7130,45150,77670,75870,38430,23860,29570,12840,51105
Leon County,124520,1920,21270,31050,28710,14440,9840,13350,3940,48289
Levy County,16300,450,2740,4990,4310,1840,1020,810,140,12075
